ID,Name,Price,Available
01,French Fries,39.00,true
02,Chicken Pop,39.00,false
03,Chicken Nuggets,39.00,false
04,Boneless Chicken,39.00,false
05,Crispy Deep Fries Enoki Mushroom,49.00,false
06,Shrimp Tempura,59.00,false
07,Onions Ring,59.00,false
08,Red Sausage Fried,30.00,false
09,Omelette,30.00,false
10,Seafood Fried Rice,70.00,false
11,Green Curry,60.00,false
12,Tom Yum Goong,60.00,false
13,Stir-Fried Minced Pork with Basil,60.00,false
14,Stir-Fried Chicken with Basil,55.00,true
15,Stir-Fried Crispy Pork with Basil,65.00,true
16,Thai Crab Curry,450.00,true
17,Stir-Fried Clams with Chilli Paste,400.00,true
18,Stir-Fried Chinese Morning Glory,100.00,true
19,Chicken Massaman,220.00,true
20,Pad Thai,70.00,true
21,Chocolate Ice Cream,29.00,true
22,Double Donut,49.00,true
23,Strawberry Ice Cream,29.00,true
24,Cheesecake,69.00,false
25,Lemon Ice Cream,29.00,true
26,Honey Toast,79.00,true
27,Vanila Ice Cream,29.00,true
28,Brownies,49.00,true
29,Pancake,49.00,true
30,Strawberry Cheesecake Ice Cream,89.00,true
31,Mint Chocolate Ice Cream,39.00,true
32,Mango Ice Cream,39.00,true
33,Water,15.00,true
34,Iced Coffee,69.00,true
35,Strawberry Soda,55.00,true
36,Iced Cocoa,69.00,true
37,Lemon Soda,55.00,true
38,Iced Thai Tea,79.00,true
39,Iced Green Tea,69.00,true
40,Milo Frappe,65.00,true
41,Lynchee Soda,55.00,true
42,Coconut Smoothie,55.00,true
43,Strawberry Yogurt,59.00,true
44,Watermelon Smoothie,65.00,false
